Year,Area Name,All ages,Not Stated,0 up to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 and over
2001,Orkney Islands,174,0,6,21,52,65,25,5
2001,Perth and Kinross,"1,334",5,81,184,353,480,197,34
2001,Renfrewshire,"1,796",0,161,304,443,576,263,49
2001,Scottish Borders,"1,066",0,73,144,256,375,180,38
2001,Shetland Islands,247,0,18,50,63,75,37,4
2001,South Ayrshire,"1,056",0,100,170,268,325,165,28
2001,South Lanarkshire,"3,161",1,225,519,864,"1,031",456,65
2001,Stirling,840,6,48,122,197,293,148,26
2001,West Dunbartonshire,972,0,110,182,255,263,143,19
2001,West Lothian,"1,980",0,170,348,600,577,246,39
2002,Scotland,"51,270",35,"4,195","9,267","12,694","16,038","7,727","1,314"
2002,Aberdeen City,"2,098",0,178,380,514,666,320,40
2002,Aberdeenshire,"2,326",5,104,329,673,806,347,62
2002,Angus,"1,014",0,73,175,274,326,149,17
2002,Argyll and Bute,755,1,46,124,193,237,129,25
2002,City of Edinburgh,"4,477",0,277,629,970,"1,550",881,170
2002,Clackmannanshire,480,0,55,109,125,114,67,10
2002,Dumfries and Galloway,"1,343",0,118,281,330,402,187,25
2002,Dundee City,"1,436",0,191,352,362,332,168,31
2002,East Ayrshire,"1,157",0,113,223,314,339,149,19
2002,East Dunbartonshire,942,1,38,85,174,377,232,35
2002,East Lothian,910,0,59,133,210,312,164,32
2002,East Renfrewshire,916,0,30,68,176,391,216,35
2002,Falkirk,"1,507",2,126,266,420,472,184,37
2002,Fife,"3,536",0,332,726,895,"1,010",490,83
2002,Glasgow City,"6,386",3,599,"1,385","1,532","1,789",897,181
2002,Highland,"1,977",1,170,365,496,543,340,62
2002,Inverclyde,787,0,90,141,201,232,110,13
2002,Midlothian,863,0,78,146,213,283,123,20
2002,Moray,876,0,63,150,277,264,106,16
2002,Na h Eileanan Siar,242,0,12,34,60,100,31,5
2002,North Ayrshire,"1,379",1,160,318,348,348,178,26
2002,North Lanarkshire,"3,664",0,319,733,970,"1,164",424,54
2002,Orkney Islands,164,0,12,32,43,51,21,5
2002,Perth and Kinross,"1,245",1,77,175,314,426,215,37
2002,Renfrewshire,"1,797",0,156,301,408,613,271,48
2002,Scottish Borders,"1,021",7,56,149,235,353,182,39
2002,Shetland Islands,209,0,11,40,59,56,33,10
2002,South Ayrshire,955,0,86,172,228,303,142,24
2002,South Lanarkshire,"3,076",6,224,553,780,"1,013",430,70
2002,Stirling,833,1,58,119,185,281,164,25
2002,West Dunbartonshire,939,0,116,208,216,256,118,25
2002,West Lothian,"1,960",6,168,366,499,629,259,33
2003,Scotland,"52,432",60,"4,155","9,626","12,725","16,085","8,310","1,471"
2003,Aberdeen City,"2,003",0,175,364,491,646,281,46
2003,Aberdeenshire,"2,368",2,110,345,657,840,348,66
2003,Angus,"1,089",0,84,207,278,348,139,33
2003,Argyll and Bute,732,0,47,115,190,230,127,23
2003,City of Edinburgh,"4,577",2,280,655,916,"1,591",947,186
2003,Clackmannanshire,468,0,54,105,110,127,68,4
2003,Dumfries and Galloway,"1,307",7,112,284,323,370,185,26
2003,Dundee City,"1,548",1,190,379,422,355,174,27
2003,East Ayrshire,"1,236",0,125,260,310,349,168,24
2003,East Dunbartonshire,948,0,42,85,192,359,228,42
2003,East Lothian,953,0,51,121,234,325,184,38
2003,East Renfrewshire,883,1,30,83,159,353,218,39
2003,Falkirk,"1,595",0,118,290,440,479,237,31
2003,Fife,"3,642",8,318,774,921,"1,057",490,74
2003,Glasgow City,"6,573",6,610,"1,414","1,603","1,720","1,037",183
2003,Highland,"2,085",1,155,404,501,589,363,72
2003,Inverclyde,830,0,105,197,170,219,120,19
2003,Midlothian,847,0,72,159,210,260,116,30
2003,Moray,824,0,67,149,238,235,103,32
2003,Na h Eileanan Siar,255,0,9,33,59,73,69,12
2003,North Ayrshire,"1,382",1,122,340,369,355,170,25
2003,North Lanarkshire,"3,771",4,342,760,944,"1,153",479,89
2003,Orkney Islands,171,0,12,26,50,50,27,6
2003,Perth and Kinross,"1,292",5,71,225,283,429,233,46
2003,Renfrewshire,"1,785",0,148,301,396,588,311,41
2003,Scottish Borders,"1,048",3,71,157,228,323,227,39
2003,Shetland Islands,251,1,10,40,67,76,45,12
2003,South Ayrshire,984,3,87,156,264,294,159,21
2003,South Lanarkshire,"3,092",13,224,494,743,"1,047",490,81
2003,Stirling,866,0,42,129,186,322,159,28
2003,West Dunbartonshire,984,2,96,203,237,270,152,24
2003,West Lothian,"2,043",0,176,372,534,653,256,52
2004,Scotland,"53,957",26,"4,172","9,950","13,131","16,085","8,912","1,681"
2004,Aberdeen City,"2,075",1,133,402,480,671,330,58
2004,Aberdeenshire,"2,388",1,101,307,679,821,409,70
2004,Angus,"1,071",0,102,192,281,326,146,24
2004,Argyll and Bute,807,2,50,143,198,239,155,20
2004,City of Edinburgh,"4,568",0,282,679,910,"1,525",955,217
2004,Clackmannanshire,501,0,45,97,128,143,71,17
2004,Dumfries and Galloway,"1,431",0,124,299,376,375,219,38
2004,Dundee City,"1,539",0,204,392,389,352,162,40
2004,East Ayrshire,"1,271",0,139,275,311,346,172,28
2004,East Dunbartonshire,889,0,40,92,178,309,230,40
2004,East Lothian,950,0,53,143,199,326,196,33
2004,East Renfrewshire,941,0,25,74,199,347,248,48
2004,Falkirk,"1,735",0,139,319,457,543,245,32
2004,Fife,"3,735",1,336,790,974,"1,024",530,80
2004,Glasgow City,"6,612",3,622,"1,413","1,612","1,719","1,025",218
2004,Highland,"2,175",0,140,417,506,640,387,85
2004,Inverclyde,898,0,92,195,209,256,121,25
2004,Midlothian,881,0,72,150,227,272,136,24
2004,Moray,854,0,55,171,246,235,124,23
2004,Na h Eileanan Siar,223,3,10,21,56,73,50,10
2004,North Ayrshire,"1,406",0,137,336,363,350,187,33
2004,North Lanarkshire,"4,005",0,332,831,"1,009","1,171",556,106
2004,Orkney Islands,171,0,14,36,44,42,25,10
2004,Perth and Kinross,"1,285",1,72,172,295,456,235,54
2004,Renfrewshire,"1,885",0,149,340,443,559,337,57
2004,Scottish Borders,"1,052",0,58,150,237,366,187,54
2004,Shetland Islands,230,0,9,36,73,72,32,8
2004,South Ayrshire,"1,030",3,86,188,244,284,192,33
2004,South Lanarkshire,"3,358",2,235,558,866,"1,026",576,95
